"Category","State/Union Territory","Geographical Area","Actual Forest Cover - 2009","Actual Forest Cover - 2011","Actual Forest Cover - 2013","Actual Forest Cover - 2015","Dense  - Very Dense Forest - 2009","Dense  - Very Dense Forest - 2011","Dense  - Very Dense Forest - 2013","Dense  - Very Dense Forest - 2015","Dense - Moderately Dense forest - 2009","Dense - Moderately Dense forest - 2011","Dense - Moderately Dense forest - 2013","Dense - Moderately Dense forest - 2015","Open Forest - 2009","Open Forest - 2011","Open Forest - 2013","Open Forest - 2015","Mangrove - 2009","Mangrove - 2011","Mangrove - 2013","Mangrove - 2015","Scrub - 2009","Scrub - 2011","Scrub - 2013","Scrub - 2015","Non-Forest - 2009","Non-Forest - 2011","Non-Forest - 2013","Non-Forest - 2015"
"State","Andhra Pradesh","160204","46670","46389","24357","24424","850","850","850","375","26377","26242","26079","13093","19443","19297","19187","10956","353","352","352","367","10372","10768","10465","8562","103162","103047","125382","127218"
"State","Arunachal Pradesh","83743","67484","67410","67321","67248","20873","20868","20828","20804","31574","31519","31414","31301","15037","15023","15079","15143","NA","NA","0","NA","111","122","121","264","16148","16211","16301","16231"
"State","Assam","78438","27692","27673","27671","27623","1461","1444","1444","1441","11558","11404","11345","11268","14673","14825","14882","14914","NA","NA","0","NA","179","182","182","384","50567","50583","50585","50431"
"State","Bihar","94163","6804","6845","7291","7288","231","231","247","248","3248","3280","3380","3376","3325","3334","3664","3664","NA","NA","0","NA","134","134","115","120","87225","87184","86757","86755"
"State","Chhattisgarh","135191","55678","55674","55621","55586","4163","4163","4153","4152","34911","34911","34865","34846","16604","16600","16603","16588","NA","NA","0","NA","107","119","117","117","79406","79398","79453","79488"
"State","Delhi","1483","177","176","180","189","7","7","7","7","50","49","49","57","120","120","124","125","NA","NA","0","NA","1","1","2","2","1305.42","1306.3","1301","1292"
"State","Goa","3702","2212","2219","2219","2224","543","543","543","542","578","585","585","580","1091","1091","1091","1102","17","22","22","26","1","0","0","0","1489","1483","1483","1478"
"State","Gujarat","196022","14620","14619","14653","14660","376","376","376","376","5249","5231","5220","5220","8995","9012","9057","9064","1046","1058","1103","1107","1463","1479","1492","1490","179939","179924","179877","179872"
"State","Haryana","44212","1594","1608","1586","1584","27","27","27","27","463","457","453","452","1104","1124","1106","1105","NA","NA","0","NA","145","150","150","151","42473","42454","42476","42477"
"State","Himachal Pradesh","55673","14668","14679","14683","14696","3224","3224","3224","3224","6383","6381","6381","6381","5061","5074","5078","5091","NA","NA","0","NA","327","328","298","301","40678","40666","40692","40676"
"State","Jammu & Kashmir","222236","22537","22539","22538","22988","4140","4140","4140","4061","8760","8760","8760","8815","9637","9639","9638","10112","NA","NA","0","NA","2036","2105","2105","625","197663","197592","197593","198623"
"State","Jharkhand","79714","22894","22977","23473","23478","2590","2590","2587","2588","9899","9917","9667","9663","10405","10470","11219","11227","NA","NA","0","NA","683","683","670","685","56137","56054","55571","55551"
"State","Karnataka","191791","36190","36194","36132","36421","1777","1777","1777","1781","20181","20179","20179","20063","14232","14238","14176","14577","3","3","3","3","3176","3175","3216","3191","152425","152422","152443","152179"
"State","Kerala","38863","17324","17300","17922","19239","1443","1442","1529","1523","9410","9394","9401","9301","6471","6464","6992","8415","5","6","6","9","58","58","29","36","21481","21505","20912","19588"
"State","Madhya Pradesh","308245","77700","77700","77522","77462","6647","6640","6632","6629","35007","34986","34921","34902","36046","36074","35969","35931","NA","NA","0","NA","6401","6396","6389","6383","224144","224149","224334","224400"
"State","Maharashtra","307713","50650","50646","50632","50628","8739","8736","8720","8712","20834","20815","20770","20747","21077","21095","21142","21169","186","186","186","222","4157","4157","4157","4157","252906","252910","252924","252928"
"State","Manipur","22327","17280","17090","16990","16994","701","730","728","727","5474","6151","6094","5925","11105","10209","10168","10342","NA","NA","0","NA","1","1","1","1182","5046","5236","5336","4151"
"State","Meghalaya","22429","17321","17275","17288","17217","410","433","449","449","9501","9775","9689","9584","7410","7067","7150","7184","NA","NA","0","NA","211","485","372","348","4897","4669","4769","4864"
"State","Mizoram","21081","19183","19117","19054","18748","134","134","138","138","6149","6086","5900","5858","12900","12897","13016","12752","NA","NA","0","NA","1","1","0","0","1897","1963","2027","2333"
"State","Nagaland","16579","13464","13318","13044","12966","1274","1293","1298","1296","4897","4931","4736","4695","7293","7094","7010","6975","NA","NA","0","NA","2","3","2","622","3113","3258","3533","2991"
"State","Orissa","155707","48855","48903","50347","50354","7073","7060","7042","7023","21394","21366","21298","21470","20388","20477","22007","21861","221","222","213","231","4852","4734","4424","4499","102000","102070","100936","100854"
"State","Punjab","50362","1664","1764","1772","1771","0","0","0","0","733","736","736","735","931","1028","1036","1036","NA","NA","0","NA","20","37","37","37","48678","48561","48553","48554"
"State","Rajasthan","342239","16036","16087","16086","16171","72","72","72","76","4450","4448","4424","4426","11514","11567","11590","11669","NA","NA","0","NA","4347","4357","4211","4302","321856","321795","321942","321766"
"State","Sikkim","7096","3359","3359","3358","3357","500","500","500","500","2161","2161","2161","2160","698","698","697","697","NA","NA","0","NA","356","363","311","311","3381","3374","3427","3428"
"State","Tamil Nadu","130058","23551","23625","23844","26345","2926","2948","2948","2993","10343","10321","10199","10469","10282","10356","10697","12883","39","39","39","47","1206","1160","1212","414","105301","105273","105002","103299"
"State","Telangana","114865","NA","NA","21759","21591","NA","NA","NA","513","NA","NA","NA","12712","NA","NA","NA","8366","NA","NA","NA","NA","NA","NA","NA","1874","NA","NA","NA","91400"
"State","Tripura","10486","7985","7977","7866","7811","109","109","109","113","4702","4686","4641","4609","3174","3182","3116","3089","NA","NA","0","NA","75","72","66","55","2426","2437","2554","2620"
"State","Uttar Pradesh","240928","14341","14338","14349","14461","1626","1626","1623","2195","4563","4559","4550","4060","8152","8153","8176","8206","NA","NA","0","NA","745","745","806","803","225842","225845","225773","225664"
"State","Uttarakhand","53483","24495","24496","24508","24240","4762","4762","4785","4754","14165","14167","14111","13602","5568","5567","5612","5884","NA","NA","0","NA","271","271","262","307","28717","28716","28713","28936"
